"Story","Title","Result","Date","Stability","Duration (s)"
"Tags test","This test will provide an error code of 400 when user tries to access an invalid resource","SUCCESS","2021-01-24T19:15:44.172+01:00[Europe/Paris]","0.0","4.46"
"Tags test","This test will verify if a status code of 200 is returned for GET request","SUCCESS","2021-01-24T19:15:49.227+01:00[Europe/Paris]","0.0","0.59"
